Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Tissue specificity	PDB	Subcellular location [CC]	Transmembrane
Q96GA3	reviewed	LTV1_HUMAN	Protein LTV1 homolog	LTV1 C6orf93	Homo sapiens (Human)	475	TISSUE SPECIFICITY: Expressed in the epidermis. {ECO:0000269|PubMed:34999892}.	6G18;6G4S;6G4W;6G51;6G53;7WTT;7WTU;7WTW;7WTX;7WTZ;7WU0;	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:34999892}. Note=The protein is expressed in a diffuse cytoplasmic pattern with granular perinuclear accentuation within the basal keratinocytes. {ECO:0000269|PubMed:34999892}.	
Q96I76	reviewed	GPTC3_HUMAN	G patch domain-containing protein 3	GPATCH3 GPATC3	Homo sapiens (Human)	525	TISSUE SPECIFICITY: Expressed in ocular tissues including retinal pigment epithelium, cornea, ciliary muscle and non-pigmented ciliary epithelium. Also expressed in optic nerve, cartilage, skin and lymph node. {ECO:0000269|PubMed:28397860}.		SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:28397860}. Cytoplasm {ECO:0000269|PubMed:28397860}.	
Q96J92	reviewed	WNK4_HUMAN	Serine/threonine-protein kinase WNK4 (EC 2.7.11.1) (Protein kinase lysine-deficient 4) (Protein kinase with no lysine 4)	WNK4 PRKWNK4	Homo sapiens (Human)	1243	TISSUE SPECIFICITY: Expressed in kidney, colon and skin. {ECO:0000269|PubMed:11571656}.	2V3S;4CH9;4CHB;	SUBCELLULAR LOCATION: Cell junction, tight junction {ECO:0000250|UniProtKB:Q80UE6}. Note=Present exclusively in intercellular junctions in the distal convoluted tubule and in both the cytoplasm and intercellular junctions in the cortical collecting duct (By similarity). WNK4 is part of the tight junction complex (By similarity). {ECO:0000250|UniProtKB:Q80UE6}.	
Q96JG9	reviewed	ZN469_HUMAN	Zinc finger protein 469	ZNF469 KIAA1858	Homo sapiens (Human)	3953	TISSUE SPECIFICITY: Detected in cornea, sclera, skin fibroblasts and striated muscle. {ECO:0000269|PubMed:18452888}.		SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.	
Q96JJ7	reviewed	TMX3_HUMAN	Protein disulfide-isomerase TMX3 (EC 5.3.4.1) (Thioredoxin domain-containing protein 10) (Thioredoxin-related transmembrane protein 3)	TMX3 KIAA1830 TXNDC10	Homo sapiens (Human)	454	TISSUE SPECIFICITY: Widely expressed. Expressed in brain, testis, lung, skin, kidney, uterus, bone, stomach, liver, prostate, placenta, eye and muscle. {ECO:0000269|PubMed:15623505}.		SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:15623505}; Single-pass membrane protein {ECO:0000269|PubMed:15623505}.	TRANSMEM 376..396; /note="Helical"; /evidence="ECO:0000255"
Q96KP6	reviewed	TNIP3_HUMAN	TNFAIP3-interacting protein 3 (A20-binding inhibitor of NF-kappa-B activation 3) (ABIN-3) (Listeria-induced gene protein)	TNIP3 ABIN3 LIND	Homo sapiens (Human)	325	TISSUE SPECIFICITY: Highly expressed in lung, lymph node, thymus and fetal liver. Expressed at lower levels in bone marrow, brain, kidney, spleen, leukocytes and tonsils. Could be detected in heart, salivary gland, adrenal gland, pancreas, ovary and fetal brain. High levels detected in liver, colon, small intestine, muscle, stomach, testis, placenta, thyroid, uterus, prostate, skin and PBL. {ECO:0000269|PubMed:11345586, ECO:0000269|PubMed:17088249}.			
Q96LB8	reviewed	PGRP4_HUMAN	Peptidoglycan recognition protein 4 (Peptidoglycan recognition protein I-beta) (PGLYRPIbeta) (PGRP-I-beta) (Peptidoglycan recognition protein intermediate beta)	PGLYRP4 PGRPIB SBBI67	Homo sapiens (Human)	373	TISSUE SPECIFICITY: Detected in skin epidermis, eccrine sweat glands and ducts, mucous cells in the submandibular salivary gland, mucous cells in the throat, ciliary body epithelial cells of the eye, small intestine, colon, stomach and in mature epithelial cells of the tongue (at protein level). High expression in skin and esophagus. Expressed also to a much lesser extent in the tonsils and thymus. {ECO:0000269|PubMed:11461926, ECO:0000269|PubMed:16354652}.	2EAV;2EAX;	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:16354652}.	
Q96LB9	reviewed	PGRP3_HUMAN	Peptidoglycan recognition protein 3 (Peptidoglycan recognition protein I-alpha) (PGLYRPIalpha) (PGRP-I-alpha) (Peptidoglycan recognition protein intermediate alpha)	PGLYRP3 PGRPIA	Homo sapiens (Human)	341	TISSUE SPECIFICITY: Detected in skin epidermis, eccrine sweat glands and ducts, ciliary body epithelial cells of the eye, in small intestine, colon, stomach and in mature epithelial cells of the tongue (at protein level). Highly expressed in skin and esophagus, expressed also in tonsils and thymus and to a much lesser extent in the stomach, descending colon, rectum and brain. {ECO:0000269|PubMed:11461926, ECO:0000269|PubMed:16354652}.	1SK3;1SK4;1TWQ;2APH;	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:16354652}.	
Q96M91	reviewed	CFA53_HUMAN	Cilia- and flagella-associated protein 53 (Coiled-coil domain-containing protein 11)	CFAP53 CCDC11	Homo sapiens (Human)	514	TISSUE SPECIFICITY: Expressed in skin fibroblasts (at protein level) (PubMed:22577226, PubMed:28621423). Expressed in nasal respiratory epithelial cells (at protein level) (PubMed:25504577). Expressed in airway epithelial cells (PubMed:36191189). {ECO:0000269|PubMed:22577226, ECO:0000269|PubMed:25504577, ECO:0000269|PubMed:28621423, ECO:0000269|PubMed:36191189}.	7UNG;8J07;	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, cilium axoneme {ECO:0000269|PubMed:25504577, ECO:0000269|PubMed:36191189}. Cytoplasm, cytoskeleton, flagellum axoneme {ECO:0000250|UniProtKB:Q9D439}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriole {ECO:0000269|PubMed:28621423}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriolar satellite {ECO:0000269|PubMed:26538025}. Cytoplasm, cytoskeleton, spindle pole {ECO:0000269|PubMed:26538025}. Cytoplasm, cytoskeleton {ECO:0000269|PubMed:28621423}. Cell projection, cilium {ECO:0000269|PubMed:38538594}. Note=In tracheal cell cilia, localizes prominently to both centriolar satellites and axonemes (By similarity). Tightly associated with microtubules in tracheal cilia (By similarity). In embryonic node cells, localizes to the base of the node cilia at the centriolar satellites and, to a lesser extent, to the cilium axoneme (By similarity). Localizes to centriolar satellites through G1, S phase, G2 and mitosis (PubMed:26538025). Enriched on the spindle poles in mitosis (PubMed:26538025). Relocalizes from the centriolar satellite to the ciliary transition zone upon ciliogenesis (PubMed:26538025). In skin fibroblast cells, locates predominantly to the centriole with much lower levels associated with the actin cytoskeleton (PubMed:28621423). Localizes to the sperm flagellum and manchette (By similarity). {ECO:0000250|UniProtKB:Q9D439, ECO:0000269|PubMed:26538025, ECO:0000269|PubMed:28621423}.	
Q96PD7	reviewed	DGAT2_HUMAN	Diacylglycerol O-acyltransferase 2 (EC 2.3.1.20) (Acyl-CoA retinol O-fatty-acyltransferase) (ARAT) (Retinol O-fatty-acyltransferase) (EC 2.3.1.76) (Diglyceride acyltransferase 2)	DGAT2 HMFN1045 UNQ738/PRO1433	Homo sapiens (Human)	388	TISSUE SPECIFICITY: Predominantly expressed in liver and white adipose tissue. Expressed at lower level in mammary gland, testis and peripheral blood leukocytes. Expressed in sebaceous glands of normal skin but decreased psoriatic skin. {ECO:0000269|PubMed:11481335, ECO:0000269|PubMed:14521909}.		SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:14521909, ECO:0000269|PubMed:27184406}; Multi-pass membrane protein {ECO:0000269|PubMed:14521909}. Lipid droplet {ECO:0000269|PubMed:27184406}. Cytoplasm, perinuclear region {ECO:0000269|PubMed:27184406}.	TRANSMEM 70..88; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 93..112; /note="Helical"; /evidence="ECO:0000255"
Q96QA5	reviewed	GSDMA_HUMAN	Gasdermin-A (Gasdermin-1) [Cleaved into: Gasdermin-A, N-terminal (GSDMA-NT); Gasdermin-A, C-terminal (GSDMA-CT)]	GSDMA GSDM GSDM1 FKSG9	Homo sapiens (Human)	445	TISSUE SPECIFICITY: Expressed predominantly in the gastrointestinal tract and, at a lower level, in the skin. Also detected in mammary gland. In the gastrointestinal tract, mainly expressed in differentiated cells, including the differentiated cell layer of esophagus and mucus-secreting pit cells of the gastric epithelium. Down-regulated in gastric cancer cells. {ECO:0000269|PubMed:10967128, ECO:0000269|PubMed:17471240, ECO:0000269|PubMed:19051310}.		SUBCELLULAR LOCATION: [Gasdermin-A]: Cytoplasm, perinuclear region {ECO:0000269|PubMed:17471240}. Cytoplasm, cytosol {ECO:0000250|UniProtKB:Q5Y4Y6}.; SUBCELLULAR LOCATION: [Gasdermin-A, N-terminal]: Cell membrane {ECO:0000269|PubMed:35110732, ECO:0000269|PubMed:35545676}; Multi-pass membrane protein {ECO:0000250|UniProtKB:Q5Y4Y6}.	TRANSMEM 78..95; /note="Beta stranded"; /evidence="ECO:0000250|UniProtKB:Q5Y4Y6"; TRANSMEM 99..120; /note="Beta stranded"; /evidence="ECO:0000250|UniProtKB:Q5Y4Y6"; TRANSMEM 163..179; /note="Beta stranded"; /evidence="ECO:0000250|UniProtKB:Q5Y4Y6"; TRANSMEM 183..197; /note="Beta stranded"; /evidence="ECO:0000250|UniProtKB:Q5Y4Y6"
Q96RW7	reviewed	HMCN1_HUMAN	Hemicentin-1 (Fibulin-6) (FIBL-6)	HMCN1 FIBL6	Homo sapiens (Human)	5635	TISSUE SPECIFICITY: Expressed in hair follicles and in the dermis (at protein level). {ECO:0000269|PubMed:32035013}.; TISSUE SPECIFICITY: [Isoform 1]: Expressed in skin fibroblasts and retinal pigment epithelium (RPE) cells. {ECO:0000269|PubMed:14570714}.; TISSUE SPECIFICITY: [Isoform 2]: Expressed in skin fibroblasts and retinal pigment epithelium (RPE) cells. {ECO:0000269|PubMed:14570714}.		SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix, basement membrane {ECO:0000250|UniProtKB:D3YXG0}. Cytoplasm {ECO:0000250|UniProtKB:D3YXG0}. Cell junction {ECO:0000250|UniProtKB:D3YXG0}. Cleavage furrow {ECO:0000250|UniProtKB:D3YXG0}. Note=Has been detected in the glomerular basement membrane in one study. However, another study found expression in the glomerular mesangial matrix but not in the glomerular basement membrane. The antibody used to determine subcellular location does not distinguish between HMCN1 and HMCN2. {ECO:0000250|UniProtKB:D3YXG0}.	
Q96SQ9	reviewed	CP2S1_HUMAN	Cytochrome P450 2S1 (EC 1.14.14.-) (CYPIIS1) (Hydroperoxy icosatetraenoate dehydratase) (EC 4.2.1.152) (Thromboxane-A synthase) (EC 5.3.99.5)	CYP2S1 UNQ891/PRO1906	Homo sapiens (Human)	504	TISSUE SPECIFICITY: Expressed at higher levels in extrahepatic tissues including trachea, lung, stomach, small intestine, colon, kidney, breast, placenta and spleen (PubMed:11181079, PubMed:12711469). Expressed in peripheral blood leukocytes (PubMed:11181079). Constitutively expressed in skin (at protein level) (PubMed:12711469). {ECO:0000269|PubMed:11181079, ECO:0000269|PubMed:12711469}.		SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:11181079}; Peripheral membrane protein {ECO:0000269|PubMed:11181079}. Microsome membrane {ECO:0000269|PubMed:11181079}; Peripheral membrane protein {ECO:0000269|PubMed:11181079}.	
Q96SY0	reviewed	INT14_HUMAN	Integrator complex subunit 14 (von Willebrand factor A domain-containing protein 9)	INTS14 C15orf44 VWA9	Homo sapiens (Human)	518	TISSUE SPECIFICITY: Strongly expressed in numerous cancer cells compared with their non-cancerous counterparts (lung, prostate, colon, stomach and skin). {ECO:0000269|PubMed:19160420}.	6SN1;8PK5;8RBX;8RBZ;8RC4;9EOC;9EP1;9FA4;9FA7;	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:39032490}.	
Q96T58	reviewed	MINT_HUMAN	Msx2-interacting protein (SMART/HDAC1-associated repressor protein) (SPEN homolog)	SPEN KIAA0929 MINT SHARP	Homo sapiens (Human)	3664	TISSUE SPECIFICITY: Expressed at high level in brain, testis, spleen and thymus. Expressed at intermediate level in kidney, liver, mammary gland and skin.	1OW1;2RT5;4P6Q;7Z1K;	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:11331609}. Note=Associates with chromatin.	
Q96TC7	reviewed	RMD3_HUMAN	Regulator of microtubule dynamics protein 3 (RMD-3) (hRMD-3) (Cerebral protein 10) (Protein FAM82A2) (Protein FAM82C) (Protein tyrosine phosphatase-interacting protein 51) (TCPTP-interacting protein 51)	RMDN3 FAM82A2 FAM82C PTPIP51 hucep-10 UNQ3122/PRO10274	Homo sapiens (Human)	470	TISSUE SPECIFICITY: Present at high level in epidermis and seminiferous epithelium: while basal cells in the epidermis and spermatogonia show no perceptible amount, keratinocytes of suprabasal layers and differentiating first-order spermatocytes up to spermatids exhibit high expression. In skeletal muscle, its presence is restricted to fibers of the fast twitch type. In surface epithelia containing ciliated cells, it is associated with the microtubular structures responsible for ciliary movement. Also present in specific structures of the central nervous system such as neurons of the hippocampal region, ganglion cells of the autonomic nervous system, and axons of the peripheral nervous system (at protein level). Widely expressed. {ECO:0000269|PubMed:15609043, ECO:0000269|PubMed:16820967}.	7CC7;	SUBCELLULAR LOCATION: Mitochondrion outer membrane {ECO:0000269|PubMed:16820967, ECO:0000269|PubMed:17361080, ECO:0000269|PubMed:22131369, ECO:0000269|PubMed:29858488}; Single-pass membrane protein {ECO:0000269|PubMed:16820967}. Cytoplasm {ECO:0000269|PubMed:17361080}. Nucleus {ECO:0000269|PubMed:17361080}. Cytoplasm, cytoskeleton, spindle {ECO:0000269|PubMed:18070910}. Cytoplasm, cytoskeleton, spindle pole {ECO:0000269|PubMed:18070910}. Note=In interphase localizes in the cytoplasm, and during mitosis localizes to the spindle microtubules and spindle poles. {ECO:0000269|PubMed:18070910}.	TRANSMEM 13..35; /note="Helical"; /evidence="ECO:0000255"
Q99828	reviewed	CIB1_HUMAN	Calcium and integrin-binding protein 1 (CIB) (Calcium- and integrin-binding protein) (CIBP) (Calmyrin) (DNA-PKcs-interacting protein) (Kinase-interacting protein) (KIP) (SNK-interacting protein 2-28) (SIP2-28)	CIB1 CIB KIP PRKDCIP	Homo sapiens (Human)	191	TISSUE SPECIFICITY: Ubiquitously expressed. Expressed in the epidermis, hair follicles and keratinocytes (PubMed:30068544). Detected in platelets and in cell lines of megakaryocytic and erythrocytic lineages. Both isoform 1 and isoform 2 are detected in various cancer cell lines, with isoform 2 being the predominant form (at protein level). {ECO:0000269|PubMed:10477286, ECO:0000269|PubMed:11856312, ECO:0000269|PubMed:23503467, ECO:0000269|PubMed:30068544, ECO:0000269|PubMed:9030514, ECO:0000269|PubMed:9372844}.	1DGU;1DGV;1XO5;1Y1A;2L4H;2L4I;2LM5;6OCX;6OD0;	SUBCELLULAR LOCATION: Membrane; Lipid-anchor. Cell membrane, sarcolemma. Cell membrane. Apical cell membrane. Cell projection, ruffle membrane. Cell projection, filopodium tip. Cell projection, growth cone {ECO:0000269|PubMed:21215777}. Cell projection, lamellipodium {ECO:0000269|PubMed:21215777}. Cytoplasm. Cytoplasm, cytoskeleton. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome. Cytoplasm, perinuclear region. Nucleus {ECO:0000269|PubMed:30068544}. Cell projection, neuron projection {ECO:0000269|PubMed:21215777}. Perikaryon {ECO:0000269|PubMed:21215777}. Note=Colocalized with PPP3R1 at the cell membrane of cardiomyocytes in the hypertrophic heart (By similarity). Colocalized with NBR1 to the perinuclear region. Colocalizes with TAS1R2 in apical regions of taste receptor cells. Colocalized with RAC3 in the perinuclear area and at the cell periphery. Colocalized with PAK1 within membrane ruffles during cell spreading upon readhesion to fibronectin. Redistributed to the cytoskeleton upon platelet aggregation. Translocates from the cytosol to the plasma membrane in a calcium-dependent manner. Colocalized with PLK3 at centrosomes in ductal breast carcinoma cells. {ECO:0000250}.; SUBCELLULAR LOCATION: [Isoform 2]: Cytoplasm, perinuclear region {ECO:0000269|PubMed:23503467}. Golgi apparatus, trans-Golgi network {ECO:0000269|PubMed:23503467}.	
Q99969	reviewed	RARR2_HUMAN	Retinoic acid receptor responder protein 2 (Chemerin) (RAR-responsive protein TIG2) (Tazarotene-induced gene 2 protein)	RARRES2 TIG2	Homo sapiens (Human)	163	TISSUE SPECIFICITY: Expressed at the highest levels in placenta, liver, and white adipose tissue (WAT), and to a lesser extent in many other tissues such as lung, brown adipose tissue, heart, ovary, kidney, skeletal muscle and pancreas. Within WAT, expression is enriched in adipocytes as compared to the stromal vascular fraction. Expression and secretion increases dramatically with adipogenesis. Highly expressed in skin (basal and suprabasal layers of the epidermis, hair follicles and endothelial cells). Expression is elevated in numerous metabolic and inflammatory diseases including psoriasis, obesity, type 2 diabetes, metabolic syndrome and cardiovascular disease. {ECO:0000269|PubMed:17635925, ECO:0000269|PubMed:17767914, ECO:0000269|PubMed:23527010}.	7YKD;8JJP;8SG1;8XGM;	SUBCELLULAR LOCATION: Secreted {ECO:0000250|UniProtKB:Q9DD06}.	
Q9BPW9	reviewed	DHRS9_HUMAN	Dehydrogenase/reductase SDR family member 9 (EC 1.1.1.209) (EC 1.1.1.53) (3-alpha hydroxysteroid dehydrogenase) (3-alpha-HSD) (NADP-dependent retinol dehydrogenase/reductase) (RDH-E2) (RDHL) (Retinol dehydrogenase 15) (EC 1.1.1.105) (Short chain dehydrogenase/reductase family 9C member 4) (Short-chain dehydrogenase/reductase retSDR8) (Tracheobronchial epithelial cell-specific retinol dehydrogenase) (RDH-TBE)	DHRS9 RDH15 SDR9C4 UNQ835/PRO1773	Homo sapiens (Human)	319	TISSUE SPECIFICITY: Highly expressed in trachea and epidermis. Detected at lower levels in spinal cord, bone marrow, brain, tongue, esophagus, heart, colon, testis, placenta, lung, skeletal muscle and lymph node. {ECO:0000269|PubMed:11294878, ECO:0000269|PubMed:11304534, ECO:0000269|PubMed:12618084}.		SUBCELLULAR LOCATION: Microsome membrane {ECO:0000269|PubMed:11294878, ECO:0000269|PubMed:11304534, ECO:0000269|PubMed:12618084}. Endoplasmic reticulum membrane {ECO:0000305}. Note=Associated with microsomal membranes.	
Q9BQL6	reviewed	FERM1_HUMAN	Fermitin family homolog 1 (Kindlerin) (Kindlin syndrome protein) (Kindlin-1) (Unc-112-related protein 1)	FERMT1 C20orf42 KIND1 URP1	Homo sapiens (Human)	677	TISSUE SPECIFICITY: Expressed in brain, skeletal muscle, kidney, colon, adrenal gland, prostate, and placenta. Weakly or not expressed in heart, thymus, spleen, liver, small intestine, bone marrow, lung and peripheral blood leukocytes. Overexpressed in some colon and lung tumors. In skin, it is localized within the epidermis and particularly in basal keratocytes. Not detected in epidermal melanocytes and dermal fibroblasts. {ECO:0000269|PubMed:12668616, ECO:0000269|PubMed:12697302, ECO:0000269|PubMed:12789646, ECO:0000269|PubMed:14634021, ECO:0000269|PubMed:17012746}.		SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton. Cell junction, focal adhesion. Cell projection, ruffle membrane; Peripheral membrane protein; Cytoplasmic side. Note=Constituent of focal adhesions. Localized at the basal aspect of skin keratinocytes, close to the cell membrane. Colocalizes with filamentous actin. Upon TGFB1 treatment, it localizes to membrane ruffles.	
Q9BSE2	reviewed	TMM79_HUMAN	Transmembrane protein 79 (Mattrin)	TMEM79 MATT	Homo sapiens (Human)	394	TISSUE SPECIFICITY: Expressed in the epidermis of the skin. Expressed in epithelial cells of the outermost layer of the stratum granulosum (SG) and hair follicles (at protein level). {ECO:0000269|PubMed:24060273, ECO:0000269|PubMed:24084074}.		SUBCELLULAR LOCATION: Lysosome {ECO:0000250}. Golgi apparatus, trans-Golgi network {ECO:0000250}. Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}. Note=Colocalized with TGOLN2 in the trans-Golgi network. Colocalized with LAMP1 in the lysosome (By similarity). {ECO:0000250}.	TRANSMEM 204..224; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 244..264; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 283..303; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 313..333; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 343..363; /note="Helical"; /evidence="ECO:0000255"
Q9BSE5	reviewed	GDAH_HUMAN	Guanidino acid hydrolase, mitochondrial (EC 3.5.3.-) (Arginase, mitochondrial) (EC 3.5.3.1) (Guanidinobutyrase, mitochondrial) (EC 3.5.3.7) (Guanidinopropionase, mitochondrial) (EC 3.5.3.17)	AGMAT GDAH	Homo sapiens (Human)	352	TISSUE SPECIFICITY: Highly expressed in liver and kidney. Also found in skeletal muscle, fetal liver, brain, testis, skin and the gastrointestinal tract. Within brain, expression is higher in the cerebral cortex with lower levels in the medulla and spinal cord. {ECO:0000269|PubMed:11804860, ECO:0000269|PubMed:11914032}.		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000255}.	
Q9BTE7	reviewed	DCNL5_HUMAN	DCN1-like protein 5 (DCNL5) (DCUN1 domain-containing protein 5) (Defective in cullin neddylation protein 1-like protein 5) (Squamous cell carcinoma-related oncogene 5)	DCUN1D5 SCCRO5	Homo sapiens (Human)	237	TISSUE SPECIFICITY: Weakly expressed in testis, skin and immune tissues (thymus, spleen and lymph nodes). {ECO:0000269|PubMed:26906416}.		SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:18445686, ECO:0000269|PubMed:23098533, ECO:0000269|PubMed:26906416}. Cytoplasm, cytoskeleton, spindle {ECO:0000269|PubMed:18445686}. Note=Subcellular localization is independent of the interaction with cullins. {ECO:0000269|PubMed:26906416}.	
Q9BUZ4	reviewed	TRAF4_HUMAN	TNF receptor-associated factor 4 (EC 2.3.2.27) (Cysteine-rich domain associated with RING and Traf domains protein 1) (Metastatic lymph node gene 62 protein) (MLN 62) (RING finger protein 83)	TRAF4 CART1 MLN62 RNF83	Homo sapiens (Human)	470	TISSUE SPECIFICITY: Expressed in epithelial cells of thymus, dendritic cells of lymph node, and in the basal cell layer of epithelia such as epidermis, nasopharynx, respiratory tract, salivary gland, and esophagus. {ECO:0000269|PubMed:7592751, ECO:0000269|PubMed:9626059}.	2EOD;2YUC;3ZJB;4K8U;4M4E;5YC1;	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:32268273}. Nucleus {ECO:0000269|PubMed:32268273}. Cytoplasm, perinuclear region. Cell junction, tight junction. Cell membrane; Peripheral membrane protein; Cytoplasmic side. Cytoplasm, cytoskeleton {ECO:0000305}.	
Q9BXB4	reviewed	OSB11_HUMAN	Oxysterol-binding protein-related protein 11 (ORP-11) (OSBP-related protein 11)	OSBPL11 ORP11 OSBP12	Homo sapiens (Human)	747	TISSUE SPECIFICITY: Present at highest levels in ovary, testis, kidney, liver, stomach, brain, and adipose tissue. Strong expression (at protein level) in epithelial cells of kidney tubules, testicular tubules, caecum, and skin (PubMed:20599956). Present at low levels in subcutaneous and visceral adipose tissue (at protein level) (PubMed:23028956). {ECO:0000269|PubMed:20599956, ECO:0000269|PubMed:23028956}.	2D9X;	SUBCELLULAR LOCATION: Late endosome membrane {ECO:0000269|PubMed:20599956}. Golgi apparatus, trans-Golgi network membrane {ECO:0000269|PubMed:20599956}. Note=Localizes at the Golgi-late endosome interface.	
Q9BYD5	reviewed	CNFN_HUMAN	Cornifelin	CNFN	Homo sapiens (Human)	112	TISSUE SPECIFICITY: Abundant in the cervix. Moderately abundant in the uterus and fetal skin. Expression is markedly increased in psoriatic skin (18.5 fold increase in comparison with normal skin) and its overexpression alters the protein composition of cornified cell envelope (CE), but does not affect keratinocyte differentiation. Expressed in the granular cell layer of epidermis in uninvolved psoriatic skin and in the psoriatic lesions it is found in the upper-spinous layer. Increased expression also seen in atopic dermatitis (14.3 fold increase in comparison with normal skin) and mycosis fungoides (4.6 fold increase in comparison with normal skin) and in both conditions expressed in the granular cell layer of epidermis. {ECO:0000269|PubMed:15147942}.		SUBCELLULAR LOCATION: Cytoplasm. Note=Constituent of the scaffolding of the cornified envelope. {ECO:0000250}.	
Q9BYE3	reviewed	LCE3D_HUMAN	Late cornified envelope protein 3D (Late envelope protein 16) (Small proline-rich-like epidermal differentiation complex protein 6A) (Small proline-rich-like epidermal differentiation complex protein 6B)	LCE3D LEP16 SPRL6A SPRL6B	Homo sapiens (Human)	92	TISSUE SPECIFICITY: Skin-specific. Expression was readily detected in adult trunk skin, adult arm skin, fetal skin, penal skin, vulva, esophagus and tongue. Not expressed in the cervix, rectum, lung, colon, or placenta. {ECO:0000269|PubMed:15854049}.			
Q9BYJ1	reviewed	LOXE3_HUMAN	Hydroperoxide isomerase ALOXE3 (Epidermis-type lipoxygenase 3) (Epidermal LOX-3) (e-LOX-3) (eLOX-3) (Hydroperoxy dehydratase ALOXE3) (Hydroperoxy icosatetraenoate dehydratase) (EC 4.2.1.152) (Hydroperoxy icosatetraenoate isomerase) (EC 5.4.4.7)	ALOXE3	Homo sapiens (Human)	711	TISSUE SPECIFICITY: Predominantly expressed in skin.	6VB2;	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|PROSITE-ProRule:PRU00726}.	
