Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Tissue specificity	Subcellular location [CC]	Transmembrane
Q99828	reviewed	CIB1_HUMAN	Calcium and integrin-binding protein 1 (CIB) (Calcium- and integrin-binding protein) (CIBP) (Calmyrin) (DNA-PKcs-interacting protein) (Kinase-interacting protein) (KIP) (SNK-interacting protein 2-28) (SIP2-28)	CIB1 CIB KIP PRKDCIP	Homo sapiens (Human)	191	TISSUE SPECIFICITY: Ubiquitously expressed. Expressed in the epidermis, hair follicles and keratinocytes (PubMed:30068544). Detected in platelets and in cell lines of megakaryocytic and erythrocytic lineages. Both isoform 1 and isoform 2 are detected in various cancer cell lines, with isoform 2 being the predominant form (at protein level). {ECO:0000269|PubMed:10477286, ECO:0000269|PubMed:11856312, ECO:0000269|PubMed:23503467, ECO:0000269|PubMed:30068544, ECO:0000269|PubMed:9030514, ECO:0000269|PubMed:9372844}.	SUBCELLULAR LOCATION: Membrane; Lipid-anchor. Cell membrane, sarcolemma. Cell membrane. Apical cell membrane. Cell projection, ruffle membrane. Cell projection, filopodium tip. Cell projection, growth cone {ECO:0000269|PubMed:21215777}. Cell projection, lamellipodium {ECO:0000269|PubMed:21215777}. Cytoplasm. Cytoplasm, cytoskeleton. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome. Cytoplasm, perinuclear region. Nucleus {ECO:0000269|PubMed:30068544}. Cell projection, neuron projection {ECO:0000269|PubMed:21215777}. Perikaryon {ECO:0000269|PubMed:21215777}. Note=Colocalized with PPP3R1 at the cell membrane of cardiomyocytes in the hypertrophic heart (By similarity). Colocalized with NBR1 to the perinuclear region. Colocalizes with TAS1R2 in apical regions of taste receptor cells. Colocalized with RAC3 in the perinuclear area and at the cell periphery. Colocalized with PAK1 within membrane ruffles during cell spreading upon readhesion to fibronectin. Redistributed to the cytoskeleton upon platelet aggregation. Translocates from the cytosol to the plasma membrane in a calcium-dependent manner. Colocalized with PLK3 at centrosomes in ductal breast carcinoma cells. {ECO:0000250}.; SUBCELLULAR LOCATION: [Isoform 2]: Cytoplasm, perinuclear region {ECO:0000269|PubMed:23503467}. Golgi apparatus, trans-Golgi network {ECO:0000269|PubMed:23503467}.	
Q99969	reviewed	RARR2_HUMAN	Retinoic acid receptor responder protein 2 (Chemerin) (RAR-responsive protein TIG2) (Tazarotene-induced gene 2 protein)	RARRES2 TIG2	Homo sapiens (Human)	163	TISSUE SPECIFICITY: Expressed at the highest levels in placenta, liver, and white adipose tissue (WAT), and to a lesser extent in many other tissues such as lung, brown adipose tissue, heart, ovary, kidney, skeletal muscle and pancreas. Within WAT, expression is enriched in adipocytes as compared to the stromal vascular fraction. Expression and secretion increases dramatically with adipogenesis. Highly expressed in skin (basal and suprabasal layers of the epidermis, hair follicles and endothelial cells). Expression is elevated in numerous metabolic and inflammatory diseases including psoriasis, obesity, type 2 diabetes, metabolic syndrome and cardiovascular disease. {ECO:0000269|PubMed:17635925, ECO:0000269|PubMed:17767914, ECO:0000269|PubMed:23527010}.	SUBCELLULAR LOCATION: Secreted {ECO:0000250|UniProtKB:Q9DD06}.	
Q9BSE2	reviewed	TMM79_HUMAN	Transmembrane protein 79 (Mattrin)	TMEM79 MATT	Homo sapiens (Human)	394	TISSUE SPECIFICITY: Expressed in the epidermis of the skin. Expressed in epithelial cells of the outermost layer of the stratum granulosum (SG) and hair follicles (at protein level). {ECO:0000269|PubMed:24060273, ECO:0000269|PubMed:24084074}.	SUBCELLULAR LOCATION: Lysosome {ECO:0000250}. Golgi apparatus, trans-Golgi network {ECO:0000250}. Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}. Note=Colocalized with TGOLN2 in the trans-Golgi network. Colocalized with LAMP1 in the lysosome (By similarity). {ECO:0000250}.	"TRANSMEM 204..224; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 244..264; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 283..303; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 313..333; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 343..363; /note=""Helical""; /evidence=""ECO:0000255"""
Q9H1E1	reviewed	RNAS7_HUMAN	Ribonuclease 7 (RNase 7) (EC 3.1.27.-) (Skin-derived antimicrobial protein 2) (SAP-2)	RNASE7 UNQ2516/PRO6006	Homo sapiens (Human)	156	TISSUE SPECIFICITY: Expressed in collecting ducts in kidney, and in apical uroepithelium in bladder (at protein level) (PubMed:25075772). Expressed in various epithelial tissues including skin, respiratory tract, genito-urinary tract and, at a low level, in the gut (PubMed:12244054). Expressed in liver, kidney, skeletal muscle and heart (PubMed:12527768). {ECO:0000269|PubMed:12244054, ECO:0000269|PubMed:12527768, ECO:0000269|PubMed:25075772}.	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:12244054, ECO:0000269|PubMed:25075772}. Note=Detected in urine. {ECO:0000269|PubMed:25075772}.	
Q9H239	reviewed	MMP28_HUMAN	Matrix metalloproteinase-28 (MMP-28) (EC 3.4.24.-) (Epilysin)	MMP28 MMP25 UNQ1893/PRO4339	Homo sapiens (Human)	520	TISSUE SPECIFICITY: Expressed at high levels in testes and lung. Low levels are detected in kidney, pancreas and skin. Also expressed in fetal lung, brain, skeletal muscle and kidney. Expressed selectively in keratinocytes. Widely expressed in several carcinomas as well. Is up-regulated in response to injury in the skin.	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix.	
Q9NNX1	reviewed	TUFT1_HUMAN	Tuftelin	TUFT1	Homo sapiens (Human)	390	TISSUE SPECIFICITY: Expressed in the epidermis (at protein level) (PubMed:36689522). Present in the extracellular enamel and is mainly associated with the crystal component. {ECO:0000269|PubMed:1874744, ECO:0000269|PubMed:36689522}.	SUBCELLULAR LOCATION: Secreted {ECO:0000250|UniProtKB:P27628}. Note=Secreted at a very early stage of enamel formation, concentrated at the dentin-enamel junction and tightly bound to the surface of the growing crystallites. {ECO:0000250|UniProtKB:P27628}.	
Q9NP60	reviewed	IRPL2_HUMAN	X-linked interleukin-1 receptor accessory protein-like 2 (IL-1 receptor accessory protein-like 2) (IL-1-RAPL-2) (IL-1RAPL-2) (IL1RAPL-2) (EC 3.2.2.6) (IL1RAPL-2-related protein) (Interleukin-1 receptor 9) (IL-1R-9) (IL-1R9) (Three immunoglobulin domain-containing IL-1 receptor-related 1) (TIGIRR-1)	IL1RAPL2 IL1R9	Homo sapiens (Human)	686	TISSUE SPECIFICITY: Detected at low levels in fetal and adult brain, in particular in the frontal lobe, temporal lobe and cerebellum. Detected at very low levels in skin, liver, fetal ovary and in placenta. {ECO:0000269|PubMed:10882729, ECO:0000269|PubMed:11031108, ECO:0000269|PubMed:11587848}.	SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein.	"TRANSMEM 355..375; /note=""Helical""; /evidence=""ECO:0000255"""
Q9NPH3	reviewed	IL1AP_HUMAN	Interleukin-1 receptor accessory protein (IL-1 receptor accessory protein) (IL-1RAcP) (EC 3.2.2.6) (Interleukin-1 receptor 3) (IL-1R-3) (IL-1R3)	IL1RAP C3orf13 IL1R3	Homo sapiens (Human)	570	TISSUE SPECIFICITY: Detected in liver, skin, placenta, thymus and lung. Isoform 4 is predominantly expressed in brain. Overexpressed on candidate chronic myeloid leukemia (CML) stem cells, hematopoietic stem cells and mononuclear cells of patients with acute myeloid leukemia (AML). Overexpressed in patients with chronic obstructive pulmonary disease (COPD). Expressed in T-helper 1 (Th1) and T-helper 2 (Th2) cell subsets (PubMed:10653850). {ECO:0000269|PubMed:10653850, ECO:0000269|PubMed:12530978, ECO:0000269|PubMed:19481478, ECO:0000269|PubMed:20805474, ECO:0000269|PubMed:22723552, ECO:0000269|PubMed:23479569, ECO:0000269|PubMed:25595648}.	SUBCELLULAR LOCATION: [Isoform 1]: Cell membrane; Single-pass type I membrane protein.; SUBCELLULAR LOCATION: [Isoform 2]: Secreted.; SUBCELLULAR LOCATION: [Isoform 3]: Secreted.	"TRANSMEM 368..388; /note=""Helical""; /evidence=""ECO:0000255"""
Q9NRJ3	reviewed	CCL28_HUMAN	C-C motif chemokine 28 (Mucosae-associated epithelial chemokine) (MEC) (Protein CCK1) (Small-inducible cytokine A28)	CCL28 SCYA28	Homo sapiens (Human)	127	TISSUE SPECIFICITY: Preferentially expressed by epithelial cells of diverse tissues including normal and pathological colon, salivary gland, mammary gland, trachea and rectum. Also found in prostate, spleen, thyroid, psoriasis skin and in lower levels in peripheral blood leukocytes, small intestine, Peyer patches, stomach and normal skin.	SUBCELLULAR LOCATION: Secreted.	
Q9NYV8	reviewed	T2R14_HUMAN	Taste receptor type 2 member 14 (T2R14) (Taste receptor family B member 1) (TRB1)	TAS2R14	Homo sapiens (Human)	317	TISSUE SPECIFICITY: Highly expressed in cerebellum, pancreas, small intestine and thymus; also expressed in adipose, aorta, skin and tongue, but at significantly lower levels (PubMed:38600377). Expressed in subsets of taste receptor cells of the tongue and palate epithelium and exclusively in gustducin-positive cells. Expressed in testis (PubMed:16720576). {ECO:0000269|PubMed:16720576, ECO:0000269|PubMed:38600377}.	SUBCELLULAR LOCATION: Membrane; Multi-pass membrane protein {ECO:0000269|PubMed:38600377, ECO:0000269|PubMed:38776963}.	"TRANSMEM 8..28; /note=""Helical; Name=1""; /evidence=""ECO:0000269|PubMed:38600377, ECO:0000269|PubMed:38776963, ECO:0007744|PDB:8VY7, ECO:0007744|PDB:8VY9, ECO:0007744|PDB:8XQL, ECO:0007744|PDB:8XQN, ECO:0007744|PDB:8XQO, ECO:0007744|PDB:8XQP, ECO:0007744|PDB:8XQR, ECO:0007744|PDB:8XQS, ECO:0007744|PDB:8XQT, ECO:0007744|PDB:8YKY""; TRANSMEM 56..76; /note=""Helical; Name=2""; /evidence=""ECO:0000269|PubMed:38600377, ECO:0000269|PubMed:38776963, ECO:0007744|PDB:8VY7, ECO:0007744|PDB:8VY9, ECO:0007744|PDB:8XQL, ECO:0007744|PDB:8XQN, ECO:0007744|PDB:8XQO, ECO:0007744|PDB:8XQP, ECO:0007744|PDB:8XQR, ECO:0007744|PDB:8XQS, ECO:0007744|PDB:8XQT, ECO:0007744|PDB:8YKY""; TRANSMEM 88..108; /note=""Helical; Name=3""; /evidence=""ECO:0000269|PubMed:38600377, ECO:0000269|PubMed:38776963, ECO:0007744|PDB:8VY7, ECO:0007744|PDB:8VY9, ECO:0007744|PDB:8XQL, ECO:0007744|PDB:8XQN, ECO:0007744|PDB:8XQO, ECO:0007744|PDB:8XQP, ECO:0007744|PDB:8XQR, ECO:0007744|PDB:8XQS, ECO:0007744|PDB:8XQT, ECO:0007744|PDB:8YKY""; TRANSMEM 130..150; /note=""Helical; Name=4""; /evidence=""ECO:0000269|PubMed:38600377, ECO:0000269|PubMed:38776963, ECO:0007744|PDB:8VY7, ECO:0007744|PDB:8VY9, ECO:0007744|PDB:8XQL, ECO:0007744|PDB:8XQN, ECO:0007744|PDB:8XQO, ECO:0007744|PDB:8XQP, ECO:0007744|PDB:8XQR, ECO:0007744|PDB:8XQS, ECO:0007744|PDB:8XQT, ECO:0007744|PDB:8YKY""; TRANSMEM 185..205; /note=""Helical; Name=5""; /evidence=""ECO:0000269|PubMed:38600377, ECO:0000269|PubMed:38776963, ECO:0007744|PDB:8VY7, ECO:0007744|PDB:8VY9, ECO:0007744|PDB:8XQL, ECO:0007744|PDB:8XQN, ECO:0007744|PDB:8XQO, ECO:0007744|PDB:8XQP, ECO:0007744|PDB:8XQR, ECO:0007744|PDB:8XQS, ECO:0007744|PDB:8XQT, ECO:0007744|PDB:8YKY""; TRANSMEM 233..253; /note=""Helical; Name=6""; /evidence=""ECO:0000269|PubMed:38600377, ECO:0000269|PubMed:38776963, ECO:0007744|PDB:8VY7, ECO:0007744|PDB:8VY9, ECO:0007744|PDB:8XQL, ECO:0007744|PDB:8XQN, ECO:0007744|PDB:8XQO, ECO:0007744|PDB:8XQP, ECO:0007744|PDB:8XQR, ECO:0007744|PDB:8XQS, ECO:0007744|PDB:8XQT, ECO:0007744|PDB:8YKY""; TRANSMEM 262..282; /note=""Helical; Name=7""; /evidence=""ECO:0000269|PubMed:38600377, ECO:0000269|PubMed:38776963, ECO:0007744|PDB:8VY7, ECO:0007744|PDB:8VY9, ECO:0007744|PDB:8XQL, ECO:0007744|PDB:8XQN, ECO:0007744|PDB:8XQO, ECO:0007744|PDB:8XQP, ECO:0007744|PDB:8XQR, ECO:0007744|PDB:8XQS, ECO:0007744|PDB:8XQT, ECO:0007744|PDB:8YKY"""
Q9NYY1	reviewed	IL20_HUMAN	Interleukin-20 (IL-20) (Cytokine Zcyto10)	IL20 ZCYTO10 UNQ852/PRO1801	Homo sapiens (Human)	176	TISSUE SPECIFICITY: Expressed in most tissues and five major cell types: epithelial cells (primarily skin, buccal mucosa, tongue, nasal mucosa, lung, ureter, breast, prostate, fallopian tube, and adrenal gland), myoepithelial cells (mainly prostate), endothelial cells (mainly in small vessels or capillaries), macrophages, and skeletal muscle. Isoform 2 was detected in the lung tissue only. {ECO:0000269|PubMed:16908179}.	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:34403503}.	
Q9NZH7	reviewed	IL36B_HUMAN	Interleukin-36 beta (FIL1 eta) (Interleukin-1 eta) (IL-1 eta) (Interleukin-1 family member 8) (IL-1F8) (Interleukin-1 homolog 2) (IL-1H2)	IL36B IL1F8 IL1H2	Homo sapiens (Human)	164	TISSUE SPECIFICITY: Expression at low levels in tonsil, bone marrow, heart, placenta, lung, testis and colon but not in any hematopoietic cell lines. Not detected in adipose tissue. Expressed at higher levels in psoriatic plaques than in symptomless psoriatic skin or healthy control skin. Increased levels are not detected in inflamed joint tissue. {ECO:0000269|PubMed:20300079, ECO:0000269|PubMed:21242515}.	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:32272059}. Secreted {ECO:0000269|PubMed:16646978}. Note=The secretion is dependent on protein unfolding and facilitated by the cargo receptor TMED10; it results in protein translocation from the cytoplasm into the ERGIC (endoplasmic reticulum-Golgi intermediate compartment) followed by vesicle entry and secretion. {ECO:0000269|PubMed:32272059}.	
Q9NZH8	reviewed	IL36G_HUMAN	Interleukin-36 gamma (IL-1-related protein 2) (IL-1RP2) (Interleukin-1 epsilon) (IL-1 epsilon) (Interleukin-1 family member 9) (IL-1F9) (Interleukin-1 homolog 1) (IL-1H1)	IL36G IL1E IL1F9 IL1H1 IL1RP2 UNQ2456/PRO5737	Homo sapiens (Human)	169	TISSUE SPECIFICITY: Highly expressed in tissues containing epithelial cells: skin, lung, stomach and esophagus. Expressed in bronchial epithelial. In skin is expressed only in keratinocytes but not in fibroblasts, endothelial cells or melanocytes. Up-regulated in lesional psoriasis skin. Expressed in monocyte-derived dendritic cells and M1 macrophages. {ECO:0000269|PubMed:20870894, ECO:0000269|PubMed:23095752}.	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:32272059}. Secreted {ECO:0000269|PubMed:20870894}. Note=The secretion is dependent on protein unfolding and facilitated by the cargo receptor TMED10; it results in protein translocation from the cytoplasm into the ERGIC (endoplasmic reticulum-Golgi intermediate compartment) followed by vesicle entry and secretion. {ECO:0000269|PubMed:32272059}.	
Q9P0G3	reviewed	KLK14_HUMAN	Kallikrein-14 (hK14) (EC 3.4.21.-) (Kallikrein-like protein 6) (KLK-L6)	KLK14 KLKL6	Homo sapiens (Human)	267	TISSUE SPECIFICITY: Highly expressed in CNS, bone marrow and fetal liver. Also expressed in breast, thyroid, kidney, colon, pancreas, spleen, prostate, uterus, small intestine, placenta and skeletal muscle. Among 40 tissues tested, the highest expression is detected in skin followed by breast and prostate (at protein level). Expressed in stratum corneum by sweat ducts and sweat glands and detected in sweat (at protein level). {ECO:0000269|PubMed:10969073, ECO:0000269|PubMed:11309303, ECO:0000269|PubMed:11352573, ECO:0000269|PubMed:16456535, ECO:0000269|PubMed:16800737, ECO:0000269|PubMed:17110383}.	SUBCELLULAR LOCATION: Secreted, extracellular space {ECO:0000269|PubMed:15654974, ECO:0000269|PubMed:16456535, ECO:0000269|PubMed:17110383}.	
Q9UBC7	reviewed	GALP_HUMAN	Galanin-like peptide	GALP	Homo sapiens (Human)	116	TISSUE SPECIFICITY: Isoform 2 is found in ganglia of ganglioneuroma and ganglioneuroblastoma, as well as in differentiated tumor cells of neuroblastoma tissues. Not found in undifferentiated neuroblasts. Isoform 2 is found in the skin, in pericytes covering microvascular arterioles and venules on their abluminal surfaces. In larger vessels, isoform 2 is expressed in layers of smooth muscle cells. Isoform 2 is not detected in endothelial cells.	SUBCELLULAR LOCATION: Secreted.	
Q9UBH0	reviewed	I36RA_HUMAN	Interleukin-36 receptor antagonist protein (IL-36Ra) (FIL1 delta) (IL-1-related protein 3) (IL-1RP3) (Interleukin-1 HY1) (IL-1HY1) (Interleukin-1 delta) (IL-1 delta) (Interleukin-1 family member 5) (IL-1F5) (Interleukin-1 receptor antagonist homolog 1) (IL-1ra homolog 1) (Interleukin-1-like protein 1) (IL-1L1)	IL36RN FIL1D IL1F5 IL1HY1 IL1L1 IL1RP3 UNQ1896/PRO4342	Homo sapiens (Human)	155	TISSUE SPECIFICITY: Predominantly expressed in skin keratinocytes but not in fibroblasts, endothelial cells or melanocytes. Detected also in the spleen, brain leukocyte and macrophage cell types. Increased in lesional psoriasis skin. {ECO:0000269|PubMed:11466363}.	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:32272059}. Secreted {ECO:0000269|PubMed:32272059}. Note=The secretion is dependent on protein unfolding and facilitated by the cargo receptor TMED10; it results in protein translocation from the cytoplasm into the ERGIC (endoplasmic reticulum-Golgi intermediate compartment) followed by vesicle entry and secretion. {ECO:0000269|PubMed:32272059}.	
Q9UBM4	reviewed	OPT_HUMAN	Opticin (Oculoglycan)	OPTC OPT	Homo sapiens (Human)	332	TISSUE SPECIFICITY: Expressed in cartilage and synovial membranes (at protein level) (PubMed:18164633, PubMed:23845380). Expressed in the retina, iris, ligament, skin and fetal liver (at protein level) (PubMed:12019215, PubMed:25136834). Expressed in the retinal pigment epithelium (at protein level) (PubMed:25136834). Expressed in synovial fibroblasts and subchondral bone osteoblasts (PubMed:18164633). {ECO:0000269|PubMed:12019215, ECO:0000269|PubMed:18164633, ECO:0000269|PubMed:23845380, ECO:0000269|PubMed:25136834}.	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000269|PubMed:18164633}.	
Q9UBX5	reviewed	FBLN5_HUMAN	Fibulin-5 (FIBL-5) (Developmental arteries and neural crest EGF-like protein) (Dance) (Urine p50 protein) (UP50)	FBLN5 DANCE UNQ184/PRO210	Homo sapiens (Human)	448	TISSUE SPECIFICITY: Expressed in skin fibroblasts (at protein level) (PubMed:17035250). Expressed predominantly in heart, ovary, and colon but also in kidney, pancreas, testis, lung and placenta. Not detectable in brain, liver, thymus, prostate, or peripheral blood leukocytes (PubMed:10428823). {ECO:0000269|PubMed:10428823, ECO:0000269|PubMed:17035250}.	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:16652333, ECO:0000269|PubMed:17035250, ECO:0000269|PubMed:20599547}. Secreted, extracellular space, extracellular matrix {ECO:0000269|PubMed:17035250}. Note=co-localizes with ELN in elastic fibers. {ECO:0000269|PubMed:17035250}.	
Q9UBX7	reviewed	KLK11_HUMAN	Kallikrein-11 (hK11) (EC 3.4.21.-) (Hippostasin) (Serine protease 20) (Trypsin-like protease) [Cleaved into: Kallikrein-11 inactive chain 1; Kallikrein-11 inactive chain 2]	KLK11 PRSS20 TLSP UNQ649/PRO1279	Homo sapiens (Human)	282	TISSUE SPECIFICITY: Expressed in brain, skin and prostate. Isoform 1 is expressed preferentially in brain. Isoform 2 is expressed in prostate. Present in seminal plasma at concentrations ranging from 2 to 37 microg/mL (at protein level). {ECO:0000269|PubMed:10872828, ECO:0000269|PubMed:16467084}.	SUBCELLULAR LOCATION: [Isoform 1]: Secreted.; SUBCELLULAR LOCATION: [Isoform 2]: Golgi apparatus {ECO:0000269|PubMed:36689511}. Secreted {ECO:0000269|PubMed:36689511}.	
Q9UFP1	reviewed	GAK1A_HUMAN	Golgi-associated kinase 1A (Protein FAM198A)	GASK1A C3orf41 FAM198A	Homo sapiens (Human)	575	TISSUE SPECIFICITY: Expressed in skin, lung and colon (at protein level). {ECO:0000269|PubMed:30188967}.	SUBCELLULAR LOCATION: Secreted {ECO:0000305}. Endoplasmic reticulum {ECO:0000250|UniProtKB:Q3UY90}. Golgi apparatus {ECO:0000250|UniProtKB:Q3UY90}. Membrane, caveola {ECO:0000269|PubMed:30188967}. Note=Requires caveolae biogenesis to be secreted from the endoplasmic reticulum going through the Golgi apparatus where is post-translationally processed to the mature form. {ECO:0000250|UniProtKB:Q3UY90}.	
Q9UHA7	reviewed	IL36A_HUMAN	Interleukin-36 alpha (FIL1 epsilon) (Interleukin-1 epsilon) (IL-1 epsilon) (Interleukin-1 family member 6) (IL-1F6)	IL36A FIL1E IL1E IL1F6	Homo sapiens (Human)	158	TISSUE SPECIFICITY: Expressed in immune system and fetal brain, but not in other tissues tested or in multiple hematopoietic cell lines. Predominantly expressed in skin keratinocytes but not in fibroblasts, endothelial cells or melanocytes. Increased in lesional psoriasis skin. {ECO:0000269|PubMed:11466363}.	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:32272059}. Secreted {ECO:0000269|PubMed:32272059}. Note=The secretion is dependent on protein unfolding and facilitated by the cargo receptor TMED10; it results in protein translocation from the cytoplasm into the ERGIC (endoplasmic reticulum-Golgi intermediate compartment) followed by vesicle entry and secretion. {ECO:0000269|PubMed:32272059}.	
Q9UHF4	reviewed	I20RA_HUMAN	Interleukin-20 receptor subunit alpha (IL-20 receptor subunit alpha) (IL-20R-alpha) (IL-20RA) (Cytokine receptor class-II member 8) (Cytokine receptor family 2 member 8) (CRF2-8) (IL-20R1) (ZcytoR7)	IL20RA UNQ681/PRO1315	Homo sapiens (Human)	553	TISSUE SPECIFICITY: Widely expressed with highest levels in skin and testis and high levels in brain. Highly expressed in psoriatic skin. {ECO:0000269|PubMed:11163236, ECO:0000269|PubMed:14764663}.	SUBCELLULAR LOCATION: Membrane {ECO:0000250}; Single-pass type I membrane protein {ECO:0000250}.	"TRANSMEM 251..271; /note=""Helical""; /evidence=""ECO:0000255"""
Q9UIG4	reviewed	PS1C2_HUMAN	Psoriasis susceptibility 1 candidate gene 2 protein (Protein SPR1)	PSORS1C2 C6orf17 SPR1	Homo sapiens (Human)	136	TISSUE SPECIFICITY: Expressed in skin. Also expressed in heart and skeletal muscle. {ECO:0000269|PubMed:12930300}.	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.	
Q9UL52	reviewed	TM11E_HUMAN	Transmembrane protease serine 11E (EC 3.4.21.-) (Serine protease DESC1) (Transmembrane protease serine 11E2) [Cleaved into: Transmembrane protease serine 11E non-catalytic chain; Transmembrane protease serine 11E catalytic chain]	TMPRSS11E DESC1 TMPRSS11E2 UNQ742/PRO1461	Homo sapiens (Human)	423	TISSUE SPECIFICITY: Expression can only be detected in tissues derived from the head and neck, and in skin, prostate and testis. {ECO:0000269|PubMed:11161383}.	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:Q5S248}; Single-pass type II membrane protein {ECO:0000250|UniProtKB:Q5S248}.; SUBCELLULAR LOCATION: [Transmembrane protease serine 11E catalytic chain]: Secreted {ECO:0000250|UniProtKB:Q5S248}. Note=Activated by cleavage and secreted. {ECO:0000250|UniProtKB:Q5S248}.	"TRANSMEM 20..40; /note=""Helical; Signal-anchor for type II membrane protein""; /evidence=""ECO:0000255"""
Q9UMD9	reviewed	COHA1_HUMAN	Collagen alpha-1(XVII) chain (180 kDa bullous pemphigoid antigen 2) (Bullous pemphigoid antigen 2) [Cleaved into: 120 kDa linear IgA disease antigen (120 kDa linear IgA dermatosis antigen) (Linear IgA disease antigen 1) (LAD-1); 97 kDa linear IgA disease antigen (97 kDa linear IgA bullous dermatosis antigen) (97 kDa LAD antigen) (97-LAD) (Linear IgA bullous disease antigen of 97 kDa) (LABD97)]	COL17A1 BP180 BPAG2	Homo sapiens (Human)	1497	TISSUE SPECIFICITY: Detected in skin (PubMed:8618013). In the cornea, it is detected in the epithelial basement membrane, the epithelial cells, and at a lower level in stromal cells (at protein level) (PubMed:25676728). Stratified squamous epithelia. Found in hemidesmosomes. Expressed in cornea, oral mucosa, esophagus, intestine, kidney collecting ducts, ureter, bladder, urethra and thymus but is absent in lung, blood vessels, skeletal muscle and nerves. {ECO:0000269|PubMed:1748679, ECO:0000269|PubMed:25676728, ECO:0000269|PubMed:8618013}.	SUBCELLULAR LOCATION: Cell junction, hemidesmosome. Membrane; Single-pass type II membrane protein. Note=Localized along the plasma membrane of the hemidesmosome.; SUBCELLULAR LOCATION: [120 kDa linear IgA disease antigen]: Secreted, extracellular space, extracellular matrix, basement membrane. Note=Exclusively localized to anchoring filaments. Localized to the epidermal side of split skin.; SUBCELLULAR LOCATION: [97 kDa linear IgA disease antigen]: Secreted, extracellular space, extracellular matrix, basement membrane. Note=Localized in the lamina lucida beneath the hemidesmosomes.	"TRANSMEM 468..488; /note=""Helical; Signal-anchor for type II membrane protein""; /evidence=""ECO:0000255"""
Q9UMX5	reviewed	NENF_HUMAN	Neudesin (Cell immortalization-related protein 2) (Neuron-derived neurotrophic factor) (Protein GIG47) (Secreted protein of unknown function) (SPUF protein)	NENF CIR2 SPUF	Homo sapiens (Human)	172	TISSUE SPECIFICITY: Ubiquitously expressed with high expression in heart. Over-expressed in various tumors including carcinomas of the uterine cervix, lymphoma, colon, lung, skin and leukemia, as well as carcinoma of the breast. {ECO:0000269|PubMed:22748190}.	SUBCELLULAR LOCATION: Secreted, extracellular space {ECO:0000269|PubMed:31536960}. Mitochondrion {ECO:0000269|PubMed:31536960}. Endoplasmic reticulum {ECO:0000269|PubMed:31536960}. Note=Localized to mitochondria and endoplasmic reticulum by PINK1 and PARK7. {ECO:0000269|PubMed:31536960}.	
Q9UNE0	reviewed	EDAR_HUMAN	Tumor necrosis factor receptor superfamily member EDAR (Anhidrotic ectodysplasin receptor 1) (Downless homolog) (EDA-A1 receptor) (Ectodermal dysplasia receptor) (Ectodysplasin-A receptor)	EDAR DL	Homo sapiens (Human)	448	TISSUE SPECIFICITY: Detected in fetal kidney, lung, skin and cultured neonatal epidermal keratinocytes. Not detected in lymphoblast and fibroblast cell lines.	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}.	"TRANSMEM 188..208; /note=""Helical""; /evidence=""ECO:0000255"""
Q9UNI1	reviewed	CELA1_HUMAN	Chymotrypsin-like elastase family member 1 (EC 3.4.21.36) (Elastase-1) (Pancreatic elastase 1)	CELA1 ELA1	Homo sapiens (Human)	258	TISSUE SPECIFICITY: Basal layers of epidermis (at protein level). Not expressed in the pancreas. {ECO:0000269|PubMed:10620133}.	SUBCELLULAR LOCATION: Secreted {ECO:0000250|UniProtKB:P00772}.	
Q9UNN8	reviewed	EPCR_HUMAN	Endothelial protein C receptor (Activated protein C receptor) (APC receptor) (Endothelial cell protein C receptor) (CD antigen CD201)	PROCR EPCR	Homo sapiens (Human)	238	TISSUE SPECIFICITY: Expressed strongly in the endothelial cells of arteries and veins in heart and lung, less intensely in capillaries in the lung and skin, and not at all in the endothelium of small vessels of the liver and kidney.	SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein.	"TRANSMEM 211..231; /note=""Helical""; /evidence=""ECO:0000255"""
